Occupancy,Flood,Age
1.100,0.000,0.814
1.100,0.000,0.817
1.100,0.000,0.820
1.100,0.000,0.823
1.100,0.000,0.826
1.100,0.000,0.830
1.100,0.000,0.833
1.100,0.000,0.836
1.100,0.000,0.843
1.100,0.000,0.846
1.100,0.000,0.850
1.100,0.000,0.853
1.050,0.000,0.682
1.050,0.000,0.685
1.050,0.000,0.689
1.050,0.000,0.692
1.050,0.000,0.692
1.050,0.000,0.694
1.050,0.000,0.701
1.050,0.000,0.704
1.050,0.000,0.708
1.050,0.000,0.622
1.050,0.000,0.626
1.050,0.000,0.629
1.050,0.000,0.632
1.050,0.000,0.637
1.050,0.000,0.640
1.050,0.000,0.644
1.050,0.000,0.647
1.050,0.000,0.650
1.050,0.000,0.654
1.050,0.000,0.657
1.050,0.000,0.660
1.050,0.000,0.664
1.050,0.000,0.667
1.050,0.000,0.670
1.050,0.000,0.674
1.050,0.000,0.677
1.050,0.000,0.684
1.050,0.000,0.672
1.050,0.000,0.675
1.050,0.000,0.678
1.000,0.000,0.615
1.000,0.000,0.618
1.000,0.000,0.621
1.000,0.000,0.624
1.000,0.000,0.627
1.000,0.000,0.630
1.000,0.000,0.633
